==================== 2026-03-01T11:08:33.069194Z | 4bb6b453-9011-4293-a6ce-e9a6a4218de3 ====================
11:08:33.069304 [info ]: Starting dbt LSP server
11:08:33.069351 [info ]: Connecting to LSP client on port 8000
11:08:33.071279 [info ]: Successfully connected to LSP client
11:08:33.071300 [info ]: Creating LSP service...
11:08:33.162828 [info ]: Creating LSP server...
11:08:33.162876 [info ]: Starting LSP server...
11:08:33.230001 [info ]: Started loading project
11:08:33.241745 [info ]: Loading profiles.yml
11:08:33.578455 [info ]:    Started resolving packages from packages.yml
11:08:33.977977 [info ]:   Finished [  0.40s] resolving packages from packages.yml (1 items)
11:08:33.978137 [info ]: Installing packages
11:08:33.982755 [info ]: Installing dbt-labs/dbt_utils
11:08:34.421411 [info ]: Loading profiles.yml
11:08:35.102674 [info ]:  Installed dbt-labs/dbt_utils: 1.3.3
11:08:35.104580 [info ]:  Installed 1 package
11:08:35.104905 [debug]:    Started loading packages
11:08:35.138849 [debug]:     Loaded [  0.03s] packages
11:08:35.138975 [debug]:    Started loading internal packages
11:08:35.237089 [debug]:     Loaded [  0.10s] internal packages
11:08:35.237383 [info ]: Finished loading project [  2.01s]
11:08:35.238144 [info ]: Started parsing
11:08:35.409317 [debug]: Finished parsing models\analytics\analytics_b2b_pipeline.yml [  0.00s]
11:08:35.410034 [debug]: Finished parsing models\analytics\analytics_cac_analysis.yml [  0.00s]
11:08:35.410632 [debug]: Finished parsing models\analytics\analytics_channel_roi.yml [  0.00s]
11:08:35.411366 [debug]: Finished parsing models\analytics\analytics_churn_risk.yml [  0.00s]
11:08:35.411889 [debug]: Finished parsing models\analytics\analytics_cohort_retention.yml [  0.00s]
11:08:35.412405 [debug]: Finished parsing models\analytics\analytics_customer_360.yml [  0.00s]
11:08:35.413132 [debug]: Finished parsing models\analytics\analytics_customer_health.yml [  0.00s]
11:08:35.413961 [debug]: Finished parsing models\analytics\analytics_email_performance.yml [  0.00s]
11:08:35.414881 [debug]: Finished parsing models\analytics\analytics_executive_kpis.yml [  0.00s]
11:08:35.415560 [debug]: Finished parsing models\analytics\analytics_finance_monthly.yml [  0.00s]
11:08:35.416505 [debug]: Finished parsing models\analytics\analytics_geographic_revenue.yml [  0.00s]
11:08:35.417205 [debug]: Finished parsing models\analytics\analytics_inventory_current.yml [  0.00s]
11:08:35.417702 [debug]: Finished parsing models\analytics\analytics_inventory_legacy.yml [  0.00s]
11:08:35.418199 [debug]: Finished parsing models\analytics\analytics_legacy_kpis.yml [  0.00s]
11:08:35.418818 [debug]: Finished parsing models\analytics\analytics_marketing_weekly.yml [  0.00s]
11:08:35.419413 [debug]: Finished parsing models\analytics\analytics_mobile_engagement.yml [  0.00s]
11:08:35.420039 [debug]: Finished parsing models\analytics\analytics_new_customer_acquisition.yml [  0.00s]
11:08:35.420691 [debug]: Finished parsing models\analytics\analytics_new_vs_returning.yml [  0.00s]
11:08:35.421265 [debug]: Finished parsing models\analytics\analytics_product_performance.yml [  0.00s]
11:08:35.421857 [debug]: Finished parsing models\analytics\analytics_refund_analysis.yml [  0.00s]
11:08:35.422469 [debug]: Finished parsing models\analytics\analytics_revenue_v1.yml [  0.00s]
11:08:35.423206 [debug]: Finished parsing models\analytics\analytics_revenue_v2.yml [  0.00s]
11:08:35.423892 [debug]: Finished parsing models\analytics\analytics_seller_dashboard_v1.yml [  0.00s]
11:08:35.424795 [debug]: Finished parsing models\analytics\analytics_seller_dashboard_v2.yml [  0.00s]
11:08:35.425550 [debug]: Finished parsing models\analytics\analytics_subscription_health.yml [  0.00s]
11:08:35.426270 [debug]: Finished parsing models\analytics\analytics_subscription_mrr_trend.yml [  0.00s]
11:08:35.426991 [debug]: Finished parsing models\analytics\analytics_web_traffic.yml [  0.00s]
11:08:35.427576 [debug]: Finished parsing models\core\core_ad_performance.yml [  0.00s]
11:08:35.428312 [debug]: Finished parsing models\core\core_b2b_accounts.yml [  0.00s]
11:08:35.429081 [debug]: Finished parsing models\core\core_cohort_retention.yml [  0.00s]
11:08:35.430832 [debug]: Finished parsing models\core\core_coupon_analysis.yml [  0.00s]
11:08:35.431881 [debug]: Finished parsing models\core\core_customer_segments.yml [  0.00s]
11:08:35.432831 [debug]: Finished parsing models\core\core_customers.yml [  0.00s]
11:08:35.433924 [debug]: Finished parsing models\core\core_email_performance.yml [  0.00s]
11:08:35.436575 [debug]: Finished parsing models\core\core_experimental_ltv.yml [  0.00s]
11:08:35.438151 [debug]: Finished parsing models\core\core_geographic_revenue.yml [  0.00s]
11:08:35.439346 [debug]: Finished parsing models\core\core_inventory_legacy.yml [  0.00s]
11:08:35.440127 [debug]: Finished parsing models\core\core_inventory_status.yml [  0.00s]
11:08:35.440830 [debug]: Finished parsing models\core\core_mobile_engagement.yml [  0.00s]
11:08:35.441581 [debug]: Finished parsing models\core\core_new_vs_returning.yml [  0.00s]
11:08:35.442157 [debug]: Finished parsing models\core\core_opportunities.yml [  0.00s]
11:08:35.442765 [debug]: Finished parsing models\core\core_orders.yml [  0.00s]
11:08:35.443384 [debug]: Finished parsing models\core\core_products.yml [  0.00s]
11:08:35.443959 [debug]: Finished parsing models\core\core_refunds.yml [  0.00s]
11:08:35.444525 [debug]: Finished parsing models\core\core_revenue_combined.yml [  0.00s]
11:08:35.445140 [debug]: Finished parsing models\core\core_revenue_daily.yml [  0.00s]
11:08:35.445662 [debug]: Finished parsing models\core\core_revenue_monthly.yml [  0.00s]
11:08:35.448256 [debug]: Finished parsing models\core\core_revenue_summary.yml [  0.00s]
11:08:35.452734 [debug]: Finished parsing models\core\core_seller_metrics.yml [  0.00s]
11:08:35.453798 [debug]: Finished parsing models\core\core_subscriptions.yml [  0.00s]
11:08:35.454264 [debug]: Finished parsing models\core\core_web_engagement.yml [  0.00s]
11:08:35.454802 [debug]: Finished parsing models\raw\raw_email_campaigns.yml [  0.00s]
